iso3,name,eiu_region,year,rank,value
KGZ,Kyrgyzstan,Eastern Europe,2021,115,3.621732026
IRQ,Iraq,Middle East & North Africa,2021,116,3.50751634
MOZ,Mozambique,Sub-Saharan Africa,2021,117,3.508263305
JOR,Jordan,Middle East & North Africa,2021,118,3.49388422
HTI,Haiti,Latin America & the Caribbean,2021,119,3.481045752
MLI,Mali,Sub-Saharan Africa,2021,120,3.484150327
GAB,Gabon,Sub-Saharan Africa,2021,121,3.399533147
AGO,Angola,Sub-Saharan Africa,2021,122,3.367507003
ETH,Ethiopia,Sub-Saharan Africa,2021,123,3.301353875
RUS,Russia,Eastern Europe,2021,124,3.240989729
NER,Niger,Sub-Saharan Africa,2021,125,3.222525677
COM,Comoros,Sub-Saharan Africa,2021,126,3.204295051
RWA,Rwanda,Sub-Saharan Africa,2021,127,3.100443511
SWZ,Eswatini,Sub-Saharan Africa,2021,128,3.082376284
KAZ,Kazakhstan,Eastern Europe,2021,129,3.081092437
OMN,Oman,Middle East & North Africa,2021,130,2.99764239
VNM,Vietnam,Asia & Australasia,2021,131,2.944794585
EGY,Egypt,Middle East & North Africa,2021,132,2.929131653
ZWE,Zimbabwe,Sub-Saharan Africa,2021,133,2.924836601
KHM,Cambodia,Asia & Australasia,2021,134,2.898576097
ARE,United Arab Emirates,Middle East & North Africa,2021,135,2.897175537
TGO,Togo,Sub-Saharan Africa,2021,136,2.795378151
COG,Congo-Brazzaville,Sub-Saharan Africa,2021,137,2.785947712
GNB,Guinea-Bissau,Sub-Saharan Africa,2021,138,2.745588235
DJI,Djibouti,Sub-Saharan Africa,2021,139,2.741619981
NIC,Nicaragua,Latin America & the Caribbean,2021,140,2.68872549
AZE,Azerbaijan,Eastern Europe,2021,141,2.68496732
CUB,Cuba,Latin America & the Caribbean,2021,142,2.588935574
CMR,Cameroon,Sub-Saharan Africa,2021,143,2.559780579
BHR,Bahrain,Middle East & North Africa,2021,144,2.520798319
SDN,Sudan,Middle East & North Africa,2021,145,2.468720822
BLR,Belarus,Eastern Europe,2021,146,2.405718954
GIN,Guinea,Sub-Saharan Africa,2021,147,2.281792717
CHN,China,Asia & Australasia,2021,148,2.214169001
BDI,Burundi,Sub-Saharan Africa,2021,149,2.130718954
UZB,Uzbekistan,Eastern Europe,2021,150,2.120121382
VEN,Venezuela,Latin America & the Caribbean,2021,151,2.10550887
SAU,Saudi Arabia,Middle East & North Africa,2021,152,2.077847806
ERI,Eritrea,Sub-Saharan Africa,2021,153,2.032329599
LBY,Libya,Middle East & North Africa,2021,154,1.946078431
IRN,Iran,Middle East & North Africa,2021,155,1.946895425
YEM,Yemen,Middle East & North Africa,2021,156,1.954248366
TJK,Tajikistan,Eastern Europe,2021,157,1.938772176
GNQ,Equatorial Guinea,Sub-Saharan Africa,2021,158,1.921498599
LAO,Laos,Asia & Australasia,2021,159,1.772408964
TCD,Chad,Sub-Saharan Africa,2021,160,1.66503268
TKM,Turkmenistan,Eastern Europe,2021,161,1.660410831
SYR,Syria,Middle East & North Africa,2021,162,1.430555556
CAF,Central African Republic,Sub-Saharan Africa,2021,163,1.428921569
COD,Congo,Sub-Saharan Africa,2021,164,1.395915033
PRK,North Korea,Asia & Australasia,2021,165,1.083333333
MMR,Myanmar,Asia & Australasia,2021,166,1.017156863
AFG,Afghanistan,Asia & Australasia,2021,167,0.323109244
